pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,acc1,acc2,acc3,acc4,acc5,acc6,acc_filt1,acc_filt2,acc_filt3,acc_filt4,acc_filt5,acc_filt6,torque1,torque2,torque3,torque4,torque5,torque6
-0.4181528091430664,-0.848487138748169,-0.14641118049621582,-1.1610355377197266,0.8036220073699951,-0.8884925842285156,0.4369020462036133,-0.006389617919921875,-1.3141155242919922,0.5637645721435547,0.4919767379760742,-0.4871368408203125,0.3278336750751037,-1.094368413523437,0.45777502265032666,-1.051452005149969,-0.6735491869724858,0.15259167421677555,0.39222761294118463,-1.2038024900481996,0.44784828436572993,-0.861786237632942,-0.9487902337557761,0.14757342340517168,-0.08956333994865417,37.920928955078125,13.639930725097656,1.7875924110412598,-0.5712944865226746,0.08052120357751846
-0.41377902030944824,-0.8486380577087402,-0.15951013565063477,-1.155439853668213,0.808485746383667,-0.8934097290039062,0.4373788833618164,-0.015091896057128906,-1.3098955154418945,0.5595684051513672,0.4863739013671875,-0.4917144775390625,0.1311334700300415,-1.1182108626198084,0.4065137570931286,-0.41962710409613274,-0.9751561680415812,-0.17166563349387248,0.3833315145144385,-1.2077129400473823,0.4706664273106307,-0.8665835550188945,-0.9753859705463707,0.15563361130345368,-0.16148558259010315,40.316429138183594,14.598674774169922,1.9029934406280518,-0.5971353054046631,0.08105042576789856
-0.40938377380371094,-0.8489255905151367,-0.17256999015808105,-1.149886131286621,0.8132104873657227,-0.8983154296875,0.43952465057373047,-0.028753280639648438,-1.305985450744629,0.5553722381591797,0.4724740982055664,-0.490570068359375,0.5531184436391379,-1.1324623307266832,0.45775319473583825,-0.9941827198168988,-1.4328628647720771,0.1907304978065993,0.3735818879958972,-1.2076088344899965,0.49353619300614454,-0.8724671148281895,-1.0016388567868235,0.16450243054817135,0.06040085852146149,36.83211135864258,12.926427841186523,1.7303802967071533,-0.5550954341888428,0.08156286180019379
-0.40489935874938965,-0.8493030071258545,-0.185577392578125,-1.1444892883300781,0.8177876472473145,-0.9031944274902344,0.4484415054321289,-0.037741661071777344,-1.3007402420043945,0.5396842956542969,0.4577159881591797,-0.4878997802734375,0.6639805454892237,-2.5462521457181,0.5709994278085065,-1.2683578104138853,-1.1431909212283045,0.36238794583253864,0.36322508250904506,-1.203388593230071,0.5162695614600805,-0.879183319252465,-1.0259513723360658,0.1740563189101992,-0.144943505525589,39.61784744262695,14.052249908447266,1.8659281730651855,-0.5829988718032837,0.08185027539730072
-0.4003713130950928,-0.8500998020172119,-0.19852304458618164,-1.1391892433166504,0.8222837448120117,-0.9080276489257812,0.4528045654296875,-0.07967948913574219,-1.294565200805664,0.5300045013427734,0.44960975646972656,-0.4833221435546875,0.4339325735539555,-1.0311859234180536,0.5614896762195413,-0.7510371465356922,-1.2517285775594869,0.36240522626484195,0.35263799926506073,-1.195172014895555,0.5386503962898074,-0.8864428744001925,-1.0471444728021573,0.1841881031914946,-0.20308566093444824,38.668052673339844,13.486595153808594,1.8148193359375,-0.5681495666503906,0.08207276463508606
-0.3958001136779785,-0.8506834506988525,-0.21141815185546875,-1.1339426040649414,0.8266105651855469,-0.9128341674804688,0.4571199417114258,-0.0583648681640625,-1.289510726928711,0.5246639251708984,0.4326820373535156,-0.48065185546875,0.25511420533117163,-1.0788708216107958,0.6306327785990177,-0.8225644938248057,-0.919126412665109,0.05722187783129083,0.3423368585985431,-1.1835168595129357,0.5604820061748954,-0.8940056795584599,-1.0645810373976092,0.19486100397062034,-0.42449721693992615,38.662872314453125,13.388288497924805,1.822730541229248,-0.5642794370651245,0.08263832330703735
-0.3912210464477539,-0.8516960144042969,-0.22423768043518066,-1.1288070678710938,0.8309228420257568,-0.9176559448242188,0.45790672302246094,-0.1012563705444336,-1.2819528579711914,0.5135536193847656,0.4312276840209961,-0.482177734375,-0.01072859050162121,-1.1372305931718483,0.5125882128552356,-0.7748426473393095,-0.8523269120732405,0.09536524890329964,0.3328678385794098,-1.1692887066019686,0.5816208567737334,-0.901694196441953,-1.078123455806062,0.20610047523371472,-0.22774028778076172,39.18726348876953,13.477553367614746,1.8369975090026855,-0.5698697566986084,0.08285944163799286
-0.38665199279785156,-0.8525071144104004,-0.2370302677154541,-1.1237154006958008,0.8350791931152344,-0.9224433898925781,0.4569053649902344,-0.08111000061035156,-1.2792587280273438,0.5091667175292969,0.4156351089477539,-0.4787445068359375,0.252717909593744,0.3015925996566851,0.5400057219149342,-0.9250429143620065,-1.0311367537669274,0.3433148960518787,0.32464214017473647,-1.1533239221953686,0.6019854200091481,-0.9093816273772138,-1.0880147485132299,0.21792896500913903,-0.1208762526512146,40.370052337646484,13.905285835266113,1.9000717401504517,-0.5860929489135742,0.08397765457630157
-0.3820223808288574,-0.853459358215332,-0.249741792678833,-1.118764877319336,0.8391852378845215,-0.9271965026855469,0.46296119689941406,-0.09522438049316406,-1.2711524963378906,0.4950523376464844,0.41060447692871094,-0.475311279296875,0.4673120022888751,-2.58094511468218,0.7832244528157932,-1.2803395164751323,-1.484192456249106,0.05722187783129083,0.31783383342926896,-1.1361610785946794,0.6215525127849879,-0.9170187478547944,-1.0947919616040285,0.23030075650394244,0.19173705577850342,36.16741943359375,11.910293579101562,1.686485767364502,-0.5388458967208862,0.08396408706903458
-0.37735986709594727,-0.8547866344451904,-0.2623777389526367,-1.113929271697998,0.8430447578430176,-0.9319725036621094,0.4662513732910156,-0.13272762298583984,-1.263594627380371,0.48356056213378906,0.3859519958496094,-0.47760009765625,0.3802870630871203,-0.921510657574746,0.5436078393972629,-0.9966143722283153,-1.213580659005293,0.20981355204806637,0.3123961917939932,-1.1180123774570767,0.6403566830281802,-0.9246851307579728,-1.099258845520252,0.24307173757700115,0.3614755868911743,35.45703887939453,11.455644607543945,1.64654541015625,-0.5290480852127075,0.08462654054164886
